issue,terriss,riveriss,mariss,region,claimdy,claim,dyadnum,chal,tgt,dyad,year,icowsal,icowsalc,salchal,saltgt,salold,saltan,salint,salintc,salintt,tchomechal,tchometgt,tcpop,tcresource,tcstratloc,tcidenchal,tcidentgt,tchistchal,tchisttgt,tcoffshore,tccontchal,tcconttgt,tcncontig,tcentirecl,tcarea,tclnarea,rcquantcl,rcqualcl,rcnavcl,rcrivtype,rchomechal,rchometgt,rcnavc,rcnavt,rcpopc,rcpopt,rcresourcc,rcresourct,rcpowerc,rcpowert,rcirrigc,rcirrigt,rcdamsc,rcdamst,rcterrclm,rcterrnum,mchomechal,mchometgt,mcresource,mcstratloc,mcfishing,mcmigrate,mcoil,mcoffshore,mcterrclm,mcterrnum,nbilat,attbilat,n3non,att3non,n3bind,att3bind,att3rd,nmidiss,midissyr,maxhost,maxfatal,nfatal,midfatyr,nwar,waryr,attemptsp,attemptst,attanyp,attanyt,attmult,attnone,recmid5,recmid10,recmid15,recmidwt,recfat5,recfat10,recfat15,recfatwt,recwar5,recwar10,recwar15,recwarwt,recno5,recno10,recno15,recnowt,recyes5,recyes10,recyes15,recyeswt,pacsett,tergen,terviol,tertot,version
1,1,0,0,1,501,5,1,2,20,2020,1987,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,1.1
1,1,0,0,1,501,5,1,2,20,2020,1988,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,1.1
1,1,0,0,1,501,5,1,2,20,2020,1989,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,1.1
1,1,0,0,1,501,5,1,2,20,2020,1990,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,3,1.1
1,1,0,0,1,501,5,1,2,20,2020,1991,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,3,1.1
1,1,0,0,1,501,5,1,2,20,2020,1992,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,3,1.1
1,1,0,0,1,501,5,1,2,20,2020,1993,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,3,1.1
1,1,0,0,1,501,5,1,2,20,2020,1994,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,3,1.1
1,1,0,0,1,501,5,1,2,20,2020,1995,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,3,1.1
1,1,0,0,1,501,5,1,2,20,2020,1996,5,2,2,3,4,2,3,1,2,1,1,1,1,0,0,0,0,1,1,2,4,0,0,1,.6931472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,3,1.1
